candidate_id,rank,score,reasoning
CAND_0088025,1,0.7814,"Staff Machine Learning Engineer (8.6 yrs) at Yellow.ai, Jaipur, Rajasthan; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.13). Recruiter response rate 0.83, recently active, no major flags."
CAND_0071974,2,0.7634,"Senior AI Engineer (7.8 yrs) at Netflix, Vizag, Andhra Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.14). Recruiter response rate 0.76, recently active, no major flags."
CAND_0077337,3,0.7270,"Staff Machine Learning Engineer (7.0 yrs) at Paytm, Kochi, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.14). Recruiter response rate 0.95, recently active, no major flags."
CAND_0069905,4,0.7213,"Applied ML Engineer (6.6 yrs) at Sarvam AI, Bhubaneswar, Odisha; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0064326,5,0.7151,"Search Engineer (7.6 yrs) at Sarvam AI, Gurgaon, Haryana; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.94, recently active, no major flags."
CAND_0008425,6,0.6982,"Senior NLP Engineer (7.8 yrs) at Ola, Kolkata, West Bengal; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.17). Recruiter response rate 0.66, recently active, no major flags."
CAND_0079387,7,0.6975,"AI Engineer (6.9 yrs) at Microsoft, Trivandrum, Kerala; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.10). Recruiter response rate 0.81, recently active, no major flags."
CAND_0046525,8,0.6969,"Senior Machine Learning Engineer (6.1 yrs) at Genpact AI, Pune, Maharashtra; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.16). Recruiter response rate 0.88, recently active, no major flags."
CAND_0052682,9,0.6832,"NLP Engineer (6.6 yrs) at Aganitha, Vizag, Andhra Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
CAND_0018499,10,0.6784,"Senior Machine Learning Engineer (7.2 yrs) at Zomato, Noida, Uttar Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.18). Recruiter response rate 0.61, recently active, no major flags."
CAND_0055905,11,0.6732,"Senior Machine Learning Engineer (8.1 yrs) at Flipkart, London; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.19). Concerns: location/relocation fit is weak."
CAND_0050454,12,0.6667,"AI Engineer (6.8 yrs) at Rephrase.ai, Delhi, Delhi; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.77, recently active, no major flags."
CAND_0006567,13,0.6628,"Senior AI Engineer (7.9 yrs) at Meta, Noida, Uttar Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0096142,14,0.6523,"Applied ML Engineer (5.0 yrs) at upGrad, Hyderabad, Telangana; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.84, recently active, no major flags."
CAND_0039754,15,0.6459,"Senior Applied Scientist (16.2 yrs) at Meta, Indore, Madhya Pradesh; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.19). Concerns: experience (16.2 yrs) is outside the 5-9yr sweet spot."
CAND_0046064,16,0.6403,"Senior NLP Engineer (8.9 yrs) at Salesforce, Coimbatore, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.17). Recruiter response rate 0.78, recently active, no major flags."
CAND_0075249,17,0.6380,"Applied ML Engineer (6.2 yrs) at Zomato, Ahmedabad, Gujarat; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.12). Recruiter response rate 0.82, recently active, no major flags."
CAND_0070398,18,0.6307,"Machine Learning Engineer (7.2 yrs) at Genpact AI, Kochi, Kerala; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.10). Recruiter response rate 0.60, recently active, no major flags."
CAND_0011687,19,0.6260,"Senior NLP Engineer (7.8 yrs) at Niramai, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.16). Recruiter response rate 0.89, recently active, no major flags."
CAND_0062247,20,0.6242,"AI Engineer (7.3 yrs) at Google, Kochi, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.11). Recruiter response rate 0.78, recently active, no major flags."
CAND_0070525,21,0.6161,"Senior Software Engineer (ML) (5.4 yrs) at Mad Street Den, Hyderabad, Telangana; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.93, recently active, no major flags."
CAND_0061257,22,0.6094,"Staff Machine Learning Engineer (8.0 yrs) at LinkedIn, Noida, Uttar Pradesh; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.87, recently active, no major flags."
CAND_0095619,23,0.6090,"NLP Engineer (15.6 yrs) at Nykaa, Mumbai, Maharashtra; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: experience (15.6 yrs) is outside the 5-9yr sweet spot."
CAND_0083307,24,0.6042,"Search Engineer (7.8 yrs) at CRED, Vizag, Andhra Pradesh; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.70, recently active, no major flags."
CAND_0093763,25,0.6040,"Senior Software Engineer (ML) (5.0 yrs) at Swiggy, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.92, recently active, no major flags."
CAND_0018722,26,0.5961,"Recommendation Systems Engineer (6.6 yrs) at Saarthi.ai, Toronto; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0053605,27,0.5954,"Senior Software Engineer (ML) (6.9 yrs) at Verloop.io, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
CAND_0013536,28,0.5879,"Applied ML Engineer (14.1 yrs) at Haptik, Trivandrum, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.87, recently active, no major flags."
CAND_0041669,29,0.5878,"Recommendation Systems Engineer (8.0 yrs) at CRED, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.77, recently active, no major flags."
CAND_0052335,30,0.5866,"Applied ML Engineer (6.4 yrs) at Aganitha, Berlin; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0047542,31,0.5817,"Senior Software Engineer (ML) (5.0 yrs) at Meesho, Chennai, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.75, recently active, no major flags."
CAND_0002344,32,0.5809,"Senior Software Engineer (ML) (4.7 yrs) at upGrad, Chennai, Tamil Nadu; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0027801,33,0.5792,"NLP Engineer (7.4 yrs) at InMobi, Hyderabad, Telangana; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.65, recently active, no major flags."
CAND_0061265,34,0.5773,"Recommendation Systems Engineer (6.6 yrs) at Zoho, Delhi, Delhi; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.94, recently active, no major flags."
CAND_0017960,35,0.5744,"Recommendation Systems Engineer (7.7 yrs) at Nykaa, Bangalore, Karnataka; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0007009,36,0.5685,"Recommendation Systems Engineer (7.9 yrs) at Wysa, Noida, Uttar Pradesh; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.62, recently active, no major flags."
CAND_0010770,37,0.5673,"Recommendation Systems Engineer (15.2 yrs) at Aganitha, Kolkata, West Bengal; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: experience (15.2 yrs) is outside the 5-9yr sweet spot."
CAND_0037566,38,0.5645,"Machine Learning Engineer (6.9 yrs) at LinkedIn, Bangalore, Karnataka; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.50, recently active, no major flags."
CAND_0037980,39,0.5645,"Senior Applied Scientist (9.0 yrs) at Niramai, Kolkata, West Bengal; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.63, recently active, no major flags."
CAND_0058688,40,0.5628,"AI Engineer (6.7 yrs) at Vedantu, Berlin; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0028793,41,0.5608,"Search Engineer (7.2 yrs) at Google, Trivandrum, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.10). Recruiter response rate 0.57, recently active, no major flags."
CAND_0043637,42,0.5581,"Junior ML Engineer (5.5 yrs) at Rephrase.ai, Delhi, Delhi; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
CAND_0030784,43,0.5575,"Data Scientist (4.4 yrs) at Yellow.ai, Delhi, Delhi; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.90, recently active, no major flags."
CAND_0051692,44,0.5561,"Senior Software Engineer (ML) (3.4 yrs) at Unacademy, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.80, recently active, no major flags."
CAND_0076163,45,0.5520,"NLP Engineer (6.9 yrs) at Ola, Chandigarh, Chandigarh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.84, recently active, no major flags."
CAND_0010257,46,0.5517,"Senior Data Scientist (6.5 yrs) at Google, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0042100,47,0.5511,"Machine Learning Engineer (7.3 yrs) at Freshworks, Singapore; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0072660,48,0.5464,"Machine Learning Engineer (7.1 yrs) at Unacademy, Berlin; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0052744,49,0.5415,"Senior Software Engineer (ML) (4.9 yrs) at Niramai, Bhubaneswar, Odisha; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0016163,50,0.5413,"Applied ML Engineer (6.7 yrs) at Dream11, Gurgaon, Haryana; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0067866,51,0.5413,"Senior Software Engineer (ML) (6.4 yrs) at Tech Mahindra, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0072768,52,0.5402,"Senior Software Engineer (ML) (3.9 yrs) at Niramai, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0087744,53,0.5383,"Senior Software Engineer (ML) (3.9 yrs) at Niramai, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
