candidate_id,rank,score,reasoning
CAND_0088025,1,0.8532,"Staff Machine Learning Engineer (8.6 yrs) at Yellow.ai, Jaipur, Rajasthan; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0071974,2,0.8333,"Senior AI Engineer (7.8 yrs) at Netflix, Vizag, Andhra Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.76, recently active, no major flags."
CAND_0077337,3,0.7919,"Staff Machine Learning Engineer (7.0 yrs) at Paytm, Kochi, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.95, recently active, no major flags."
CAND_0069905,4,0.7910,"Applied ML Engineer (6.6 yrs) at Sarvam AI, Bhubaneswar, Odisha; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0064326,5,0.7852,"Search Engineer (7.6 yrs) at Sarvam AI, Gurgaon, Haryana; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.94, recently active, no major flags."
CAND_0079387,6,0.7639,"AI Engineer (6.9 yrs) at Microsoft, Trivandrum, Kerala; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.81, recently active, no major flags."
CAND_0008425,7,0.7591,"Senior NLP Engineer (7.8 yrs) at Ola, Kolkata, West Bengal; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.66, recently active, no major flags."
CAND_0046525,8,0.7561,"Senior Machine Learning Engineer (6.1 yrs) at Genpact AI, Pune, Maharashtra; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
CAND_0052682,9,0.7490,"NLP Engineer (6.6 yrs) at Aganitha, Vizag, Andhra Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
CAND_0018499,10,0.7358,"Senior Machine Learning Engineer (7.2 yrs) at Zomato, Noida, Uttar Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.61, recently active, no major flags."
CAND_0050454,11,0.7307,"AI Engineer (6.8 yrs) at Rephrase.ai, Delhi, Delhi; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.77, recently active, no major flags."
